"Empleado","Nombre_del_Curso","Horas_Invertidas","Reconocimiento","Fecha_del_curso","Cierre_del_Curso","DCIII","Cerificion_del_curso","Valor_Curricular","Donde_curso","Quien_imparte","Competencias_adquiridas"
"13517","IMAC PEÑOLES","16","IMAC - Gabriel Rangel.pdf","30/10/2017 12:00:00 a. m.","31/10/2017 12:00:00 a. m.","","True","True","Peñoles Area de Ingenieria","COYSER","IMAC PEÑOLES"
"13832","FESTO INDUSTRIA 4.0","8","","19/10/2017 12:00:00 a. m.","19/10/2017 12:00:00 a. m.","","False","False","Monterrey Hotel Krystal Monterrey","FESTO","Nuevas Tec. Feso"
"14935","CURSO DE SEG. PEÑOLES","40","","","","","False","False","","",""
"09517","INTEGRIDAD MECANICA","16","2017 - INTEGRIDAD MECANICA Y ASEG. CALIDAD PEÑOLES 16 Hr - JM.pdf","30/07/2017 12:00:00 a. m.","31/07/2017 12:00:00 a. m.","","False","False","PEÑOLES","",""
"09517","HABILIDADES GERENCIALES","40","2018 - (1) HABILIDADES GERENCIALES Y DIRECTIVAS 40 Hr - JM.pdf","10/03/2018 12:00:00 a. m.","14/04/2018 12:00:00 a. m.","","True","False","CANACINTRA","",""
"09517","TALLER DE INTEGRACION EMOCIONAL","4","2018 - (2) TALLER DE INTELIGENCIA EMOCIONAL - 4 Hrs - JM.pdf","21/04/2018 12:00:00 a. m.","21/04/2018 12:00:00 a. m.","","False","False","UVM","",""
"09517","LIDERAZGO PARA LA INTEGRACION","12","2018 - (3) LIDERAZGO PARA LA INTEGRACION - 12 Hr - JM.pdf","09/06/2018 12:00:00 a. m.","10/06/2018 12:00:00 a. m.","","False","False","ELECTRO TABLEROS","",""
"13053","FESTO INDUSTRIA 4.0","8","","19/10/2017 12:00:00 a. m.","19/10/2017 12:00:00 a. m.","","False","False","Monterrey Hotel Krystal Monterrey","FESTO","Nuevas Tec. Feso"
"13066","FESTO INDUSTRIA 4.0","8","","19/10/2017 12:00:00 a. m.","19/10/2017 12:00:00 a. m.","","False","False","Monterrey Hotel Krystal Monterrey","FESTO","Nuevas Tec. Feso"
"00001","CEDULA","1","CEDULA PROFESIONAL 10208888 JESUS MORALES.pdf","19/01/2017 12:00:00 a. m.","","","True","False","","",""
"00001","FLEX OPERACIÓN Y MTTO DOBLADORA MAKE160","8","2026 - certificado jesus morales sigrama (dobladora2).pdf","12/01/2026 12:00:00 a. m.","","","True","False","","",""
"00001","FLEX OPERACIÓN Y MTTO DOBLADORA MAKE320","8","2026 - certificado jesus morales sigrama (dobladora1).pdf","12/01/2026 12:00:00 a. m.","","","True","False","","",""
"00001","FLEX CURSO DE MANEJO DE LASER","6","2025 - Curso de Manejo de Laser - jesus alberto.pdf","05/12/2025 12:00:00 a. m.","","","True","False","","",""
"00001","CIBER SEGURIDAD CISCO","5","2025 - 09 - Induccion a la Certificado.pdf;2025 - 09 - Introducción a la Ciberseguridad.pdf","19/07/2025 12:00:00 a. m.","","","True","False","","",""
"00001","NOM-025  ILUMINACIÓN PROCADIS","16","2025 - 08 - PROCADIS NOM-025-STPS-2008 Iluminación (0821962781JM).pdf","02/07/2025 12:00:00 a. m.","","","True","False","","",""
"00001","COMUNICACIÓN EFECTIVA EN EL TRABAJO","16","2025 - 07 - PROCADIS COMUNICACION EFECTIVA (6264016375JM).pdf","01/09/2025 12:00:00 a. m.","","","True","False","","",""
"00001","23 HTAS. DE AXIOMA
en Línea 23 Herramientas Proyecto AXIOMA","6","2020 - 23 HERRAMIENTAS PARA LA ADMINISTRACIÓN DE PROYECTOS.pdf;2020 - 23 HERRAMIENTAS PARA LA ADMINISTRACIÓN DE PROYECTOSDC3 -Jesús Alberto Morales López.pdf","29/10/2020 12:00:00 a. m.","","","True","False","","",""
"00001","TALLER INTELIGENCIA EMOCIONAL","5","2018 - TALLER DE INTELIGENCIA EMOCIONAL - 4 Hrs - JM.pdf","21/04/2018 12:00:00 a. m.","","","True","False","","",""
"00001","HABILIDADES DIRECTIVAS","40","2018 - (3) LIDERAZGO PARA LA INTEGRACION - 12 Hr - JM.pdf;2018 - DC3 HABILIDADES GERENCIALES Y DIRECTIVAS.pdf","17/04/2018 12:00:00 a. m.","","","True","False","","",""
"00001","PEÑOLES INTEGRIDAD Y CALIDAD","16","2017 - INTEGRIDAD MECANICA Y ASEG. CALIDAD PEÑOLES 16 Hr - JM.pdf","31/10/2017 12:00:00 a. m.","","","True","False","","",""
"00001","APQP - PPAP","24","2013 - APQP 24Hr - JM.pdf","","","","False","True","","",""
"00001","SOLUCION DE PROBLEMAS","7","2007 - TALLER DE ANALISIS 2007 7Hr - JM.pdf","","","","False","True","","",""
"00001","LALA - SELECCIÓN EFICAZ","N/A","2007 - SELECCION EFICAZ 2007 18 Hrs - JM.pdf","","","","False","True","","",""
"00001","MEJORA CONTINUA","N/A","2003 - LG.PHILIPS IMPROVEMENT WORKSHOP 2003 40 Hr - JM.pdf","","","","False","True","","",""
"00001","AB CONTROL RECONOCIMIENTO","3","Captura de pantalla 2025-11-11 122145.jpg","11/11/2025 12:00:00 a. m.","","","True","False","","",""
"00002","FLEXMAX OPERATIVO MTTO LASER","10","Captura de pantalla 2026-01-20 121709.jpg","08/12/2025 12:00:00 a. m.","","","True","True","","",""
"00001","NOM-026  SEÑALETICA Y COLORES","8","DC3-COLORES Y SEÑALES DE SEGURIDAD - JESUS MORALES.pdf","10/10/2022 12:00:00 a. m.","","","True","False","","",""
"00001","NOM-019 - COMISION DE SEGURIDAD E HIGIENE","8","20220803 - DC3 NOM-019 - JESUS ALBERTO MORALES LOPEZ.pdf","03/08/2022 12:00:00 a. m.","","","True","False","","",""
"00001","NOM-033 - ESPACIOS CONFINADOS","8","DC3-TRABAJOS EN ESPACIOS CONFINADOS - JESUS MORALES.pdf","09/10/2022 12:00:00 a. m.","","","True","False","","",""
"00001","NOM-027 - CORTE Y SOLDADURA","8","DC3-CORTE Y SOLDADURA - JESUS MORALES.pdf","29/09/2022 12:00:00 a. m.","","","True","False","","",""
"00001","NOM-009 TRABAJOS EN ALTURAS","8","DC3-TRABAJOS EN ALTURAS - JESUS MORALES.pdf","08/10/2022 12:00:00 a. m.","","","True","False","","",""
"00002","CURSO USO DE MONTACAGRAS","6","Seguridad de Montacargas Bryan Flores Mancinas.pdf","14/06/2026 12:00:00 a. m.","","","True","True","","",""
"00003","CURSO USO DE MONTACARGAS","6","Seguridad Montacargas Cruz Carreon Rios.pdf","14/06/2026 12:00:00 a. m.","14/06/2026 12:00:00 a. m.","","True","True","","",""
"00005","CURSO USO DE MONTACARGAS","6","Seguridad de Montacargas Luis Quintana Palma.pdf","14/06/2026 12:00:00 a. m.","14/06/2026 12:00:00 a. m.","","True","True","","",""
"00006","CURSO USO DE MONTACARGAS","6","Seguridad de Montacargas Marvin Flores Campa.pdf","14/06/2026 12:00:00 a. m.","14/06/2026 12:00:00 a. m.","","True","True","MONTACARGAS","",""
"00001","1°ER LUGAR APROVECHAMIENTO","N/A","IMG_20260328_074648.jpg","24/02/2026 12:00:00 a. m.","","","True","False","","",""
"00002","LICENCIA MONTACARGAS","N/A","bryan.png","14/06/2026 12:00:00 a. m.","","","True","False","","",""
"00003","LICENCIA MONTACARGAS","n/A","cruz.png","14/06/2026 12:00:00 a. m.","14/06/2026 12:00:00 a. m.","","True","True","","",""
"00005","LICENCIA MONTACARGAS","N/A","luis.png","14/06/2026 12:00:00 a. m.","14/06/2026 12:00:00 a. m.","","True","True","","",""
"00006","LICENCIA MONTACARGAS","N/A","MARVIN.png","14/06/2026 12:00:00 a. m.","14/06/2026 12:00:00 a. m.","","True","True","","",""
